ID;DATE;COUNTRY
T328;1678/6/18;PERU
T329;1680/8/29;JAPAN
T330;1680/9/28;JAPAN
T331;1680/10/9;SPAIN
T332;1681/2/10;GREECE
T333;1681/3/10;CHILE
T334;1681/6/12;SOUTH KOREA
T335;1681/6/26;SOUTH KOREA
T336;1681/12/11;INDONESIA
T338;1682/10/19;PERU
T341;1687/7/12;CHILE
T342;1687/7/26;JAPAN
T343;1687/10/20;PERU
T344;1688/3/1;JAMAICA
T345;1688/7/10;TURKEY
T347;1690/2/3;ITALY
T348;1690/4/16;ANTIGUA AND BARBUDA
T351;1691/7/26;PORTUGAL
T352;1692/6/7;JAMAICA
T353;1693/1/9;ITALY
T354;1693/1/11;ITALY
T355;1693/2/13;ICELAND
T356;1694/9/8;ITALY
T357;1696/7/25;JAPAN
T358;1696/11/25;JAPAN
T359;1698/5/14;ITALY
T360;1698/12/22;JAPAN
T363;1699/9/8;JAPAN
T364;1700/1/27;United States
T365;1700/4/1;JAPAN
T366;1700/4/16;JAPAN
T367;1700/9/12;SOUTH KOREA
T368;1703/2/2;ITALY
T369;1703/7/2;ITALY
T370;1703/12/30;JAPAN
T373;1705/11/26;CHILE
T374;1706/5/5;SPAIN
T376;1707/7/20;ITALY
T377;1707/10/28;JAPAN
T378;1707/10/28;JAPAN
T379;1708/2/13;JAPAN
T380;1708/11/28;INDONESIA
T381;1710/3/6;INDONESIA
T382;1710/4/16;CHINA
T383;1711/9/5;INDONESIA
T384;1711/12/20;JAPAN
T385;1714/6/30;ITALY
T386;1714/8/4;Burma
T387;1715/8/23;PERU
T388;1715/12/29;JAPAN
T389;1716/9/24;PHILIPPINES
T391;1718/10/5;JAPAN
T393;1721/3/24;SPAIN
T395;1722/9/24;JAPAN
T397;1722/12/27;PORTUGAL
T398;1723/2/18;GREECE
T399;1723/3/28;ITALY
T401;1725/3/27;PERU
T402;1726/4/1;JAPAN
T403;1726/9/1;ITALY
T405;1727/7/4;ITALY
T406;1730/3/23;ITALY
T407;1730/7/8;CHILE
T408;1730/11/10;JAPAN
T409;1731/1/8;NORWAY
T410;1731/3/20;ITALY
T411;1731/10/7;JAPAN
T412;1732/2/25;MEXICO
T414;1732/12/4;JAPAN
T416;1735/12/27;PHILIPPINES
T417;1737/10/11;INDIA
T418;1737/10/16;RUSSIA
T419;1737/12/17;RUSSIA
T420;1737/12/24;CHILE
T421;1738/7/19;GREECE
T422;1741/1/31;GREECE
T423;1741/8/29;JAPAN
T424;1742/1/16;ITALY
T425;1742/2/21;GREECE
T426;1742/3/23;CHILE
T427;1742/11/18;RUSSIA
T428;1742/11/19;ITALY
T429;1743/2/20;ITALY
T431;1746/10/29;PERU
T432;1746/12/26;PORTUGAL
T435;1748/5/14;GREECE
T436;1749/8/12;PHILIPPINES
T438;1750/12/17;CROATIA
T441;1751/5/20;JAPAN
T442;1751/5/25;CHILE
T443;1751/7/24;JAPAN
T444;1751/9/15;HAITI
T445;1751/10/18;DOMINICAN REPUBLIC
T446;1751/11/21;ITALY
T447;1751/11/21;HAITI
T448;1752/4/28;PORTUGAL
T449;1752/7/21;SYRIA
T451;1754/8/18;INDONESIA
T452;1754/9/1;MEXICO
T453;1754/9/2;TURKEY
T454;1754/9/7;INDONESIA
T455;1754/9/16;TURKEY
T456;1754/11/15;PHILIPPINES
T457;1755/10/4;United States
T458;1755/11/1;PORTUGAL
T459;1755/11/2;PORTUGAL
T460;1755/11/5;United Kingdom
T461;1755/11/16;SPAIN
T462;1755/11/18;United States
T463;1755/12/21;PORTUGAL
T464;1756/1/31;SPAIN
T465;1756/2/27;United Kingdom
T467;1756/3/29;PORTUGAL
T468;1756/10/22;ITALY
T469;1757/7/9;PORTUGAL
T470;1757/7/15;United Kingdom
T471;1757/8/24;INDONESIA
T473;1759/10/30;ISRAEL
