,ID,DATE,COUNTRY,DAYS,GROUP
0,T377,1707-10-28,JAPAN,0,1
1,T378,1707-10-28,JAPAN,0.0,1
2,T539,1783-02-05,ITALY,0,2
3,T540,1783-02-05,ITALY,0.0,2
4,T618,1811-12-16,United States,0,3
5,T619,1811-12-16,United States,0.0,3
6,T811,1851-02-28,GREECE,0,4
7,T812,1851-02-28,TURKEY,0.0,4
8,T1330,1901-08-09,JAPAN,0,5
9,T1332,1901-08-09,JAPAN,0.0,5
10,T1333,1901-08-09,JAPAN,0.0,5
11,T1365,1904-06-25,RUSSIA,0,6
12,T1366,1904-06-25,RUSSIA,0.0,6
13,T1764,1938-11-05,JAPAN,0,7
14,T1765,1938-11-05,JAPAN,0.0,7
15,T1766,1938-11-06,JAPAN,0,8
16,T1767,1938-11-06,JAPAN,0.0,8
17,T1847,1949-12-17,CHILE,0,9
18,T1848,1949-12-17,CHILE,0.0,9
19,T1916,1956-07-09,GREECE,0,10
20,T1917,1956-07-09,GREECE,0.0,10
21,T1959,1961-01-16,JAPAN,0,11
22,T1960,1961-01-16,JAPAN,0.0,11
23,T1961,1961-01-16,JAPAN,0.0,11
24,T1997,1964-05-07,JAPAN,0,12
25,T1998,1964-05-07,JAPAN,0.0,12
26,T2027,1966-12-31,SOLOMON ISLANDS,0,13
27,T2028,1966-12-31,SOLOMON ISLANDS,0.0,13
28,T2045,1968-05-16,JAPAN,0,14
29,T2046,1968-05-16,JAPAN,0.0,14
30,T2088,1971-09-08,RUSSIA,0,15
31,T2089,1971-09-08,RUSSIA,0.0,15
32,T2135,1977-04-20,SOLOMON ISLANDS,0,16
33,T2136,1977-04-20,SOLOMON ISLANDS,0.0,16
34,T2144,1978-03-22,RUSSIA,0,17
35,T2145,1978-03-22,RUSSIA,0.0,17
36,T2146,1978-03-23,RUSSIA,0,18
37,T2147,1978-03-23,RUSSIA,0.0,18
38,T2201,1983-08-17,PHILIPPINES,0,19
39,T2202,1983-08-17,INDONESIA,0.0,19
40,T2307,1995-04-21,PHILIPPINES,0,20
41,T2308,1995-04-21,PHILIPPINES,0.0,20
42,T2330,1996-06-10,United States,0,21
43,T2331,1996-06-10,United States,0.0,21
44,T2390,2004-09-05,JAPAN,0,22
45,T2391,2004-09-05,JAPAN,0.0,22
46,T2442,2009-01-03,INDONESIA,0,23
47,T2443,2009-01-03,INDONESIA,0.0,23
48,T2456,2010-01-03,SOLOMON ISLANDS,0,24
49,T2457,2010-01-03,SOLOMON ISLANDS,0.0,24
50,T2485,2011-08-20,VANUATU,0,25
51,T2486,2011-08-20,VANUATU,0.0,25
52,T2492,2012-04-11,INDONESIA,0,26
53,T2493,2012-04-11,INDONESIA,0.0,26
