,ID,DATE,COUNTRY,DAYS,GROUP
0,V201,1794-06-15,ITALY,0,1
1,T576,1794-06-11,GREECE,4.0,1
2,V342,1901-08-09,VANUATU,0,2
3,T1331,1901-08-09,NEW CALEDONIA,0.0,2
4,V404,1929-06-17,JAPAN,0,3
5,T1661,1929-06-13,PHILIPPINES,4.0,3
6,V414,1933-12-24,JAPAN,0,4
7,T1716,1933-12-25,PHILIPPINES,1.0,4
8,V420,1938-06-05,PHILIPPINES,0,5
9,T1762,1938-06-10,JAPAN,5.0,5
10,V456,1953-03-11,JAPAN,0,6
11,T1888,1953-03-17,RUSSIA,6.0,6
12,V498,1967-12-04,ANTARCTICA,0,7
13,T2037,1967-12-04,ANTARCTICA,0.0,7
14,V552,1983-08-17,INDONESIA,0,8
15,T2201,1983-08-17,PHILIPPINES,0.0,8
16,V568,1990-02-10,INDONESIA,0,9
17,T2254,1990-02-08,PHILIPPINES,2.0,9
18,V578,1992-05-11,INDONESIA,0,10
19,T2272,1992-05-17,PHILIPPINES,6.0,10
20,V579,1992-07-12,PHILIPPINES,0,11
21,T2275,1992-07-18,JAPAN,6.0,11
22,V582,1993-02-02,PHILIPPINES,0,12
23,T2279,1993-02-07,JAPAN,5.0,12
24,V596,1997-04-17,INDONESIA,0,13
25,T2339,1997-04-18,AUSTRALIA,1.0,13
26,V603,1999-08-15,RUSSIA,0,14
27,T2353,1999-08-17,TURKEY,2.0,14
28,V621,2006-07-13,PHILIPPINES,0,15
29,T2410,2006-07-17,INDONESIA,4.0,15
30,V654,2012-12-12,RUSSIA,0,16
31,T2501,2012-12-07,JAPAN,5.0,16
32,V670,2015-05-07,INDONESIA,0,17
33,T2530,2015-05-05,PAPUA NEW GUINEA,2.0,17
