,ID,DATE,COUNTRY,DAYS,GROUP
0,V229,1826-10-11,INDONESIA,0,1
1,V230,1826-10-11,INDONESIA,0,1
2,V343,1902-05-05,MARTINIQUE,0,2
3,V345,1902-05-08,MARTINIQUE,3,2
4,V414,1933-12-24,JAPAN,0,3
5,V415,1933-12-25,PHILIPPINES,1,3
6,V451,1952-09-16,JAPAN,0,4
7,V452,1952-09-23,JAPAN,7,4
8,V453,1952-09-24,JAPAN,0,5
9,V452,1952-09-23,JAPAN,1,5
10,V454,1952-09-26,JAPAN,2,5
11,V546,1982-03-28,MEXICO,0,6
12,V547,1982-04-04,MEXICO,7,6
13,V619,2006-06-07,PHILIPPINES,0,7
14,V620,2006-06-14,INDONESIA,7,7
15,V641,2010-12-28,INDONESIA,0,8
16,V642,2011-01-03,INDONESIA,6,8
