ID;DATE;COUNTRY
V131;1679/9/21;YEMEN
V132;1682/8/12;ITALY
V134;1690/2/3;ITALY
V136;1692/6/4;PACIFIC OCEAN
V137;1693/1/9;ITALY
V138;1693/2/13;ICELAND
V139;1694/11/20;PACIFIC OCEAN
V143;1706/5/5;SPAIN
V145;1707/12/16;JAPAN
V146;1711/12/10;INDONESIA
V147;1712/1/15;ICELAND
V148;1714/6/30;ITALY
V149;1716/7/20;INDONESIA
V150;1716/9/24;PHILIPPINES
V151;1716/10/5;ICELAND
V152;1716/11/9;JAPAN
V153;1717/2/7;JAPAN
V154;1717/8/4;ICELAND
V155;1717/8/27;GUATEMALA
V156;1718/2/1;PORTUGAL
V157;1721/5/11;ICELAND
V158;1721/6/22;JAPAN
V159;1726/2/1;ICELAND
V160;1727/8/3;ICELAND
V161;1729/2/1;ICELAND
V162;1729/6/30;ICELAND
V163;1730/9/1;SPAIN
V166;1737/5/20;ITALY
V167;1741/8/23;JAPAN
V168;1742/6/15;ECUADOR
V169;1742/12/9;ECUADOR
V170;1749/8/11;PHILIPPINES
V171;1753/10/15;ICELAND
V172;1754/5/13;PHILIPPINES
V173;1755/10/17;ICELAND
V174;1757/7/9;PORTUGAL
V175;1760/9/22;INDONESIA
V177;1766/4/5;ICELAND
V178;1766/7/20;PHILIPPINES
V179;1768/4/4;ECUADOR
V180;1772/5/9;INDONESIA
V181;1772/8/12;INDONESIA
V182;1773/2/2;INDONESIA
V183;1775/8/20;INDONESIA
V186;1779/8/8;ITALY
V187;1779/11/8;JAPAN
V188;1780/2/9;JAPAN
V189;1780/7/27;JAPAN
V190;1780/9/9;JAPAN
V191;1780/10/31;JAPAN
V192;1781/4/11;JAPAN
V193;1783/7/26;JAPAN
V196;1785/4/18;JAPAN
V200;1792/5/21;JAPAN
V201;1794/6/15;ITALY
V202;1800/6/24;PORTUGAL
V203;1800/10/8;INDONESIA
V204;1800/10/30;PHILIPPINES
V208;1803/7/4;JAPAN
V209;1803/11/7;JAPAN
V211;1805/8/11;ITALY
V212;1812/4/27;SAINT VINCENT AND THE GRENADINES
V213;1812/8/6;INDONESIA
V214;1814/2/1;PHILIPPINES
V215;1815/4/5;INDONESIA
V216;1816/7/5;JAPAN
V217;1817/1/24;INDONESIA
V219;1818/2/5;MEXICO
V221;1820/3/1;UNITED STATES
V222;1820/6/11;PACIFIC OCEAN
V223;1822/3/9;JAPAN
V224;1822/10/8;INDONESIA
V225;1822/12/27;INDONESIA
V229;1826/10/11;INDONESIA
V230;1826/10/11;INDONESIA
V232;1827/6/27;RUSSIA
V233;1827/8/9;RUSSIA
V235;1832/11/1;ITALY
V236;1832/12/25;INDONESIA
V237;1833/11/24;INDONESIA
V238;1835/1/20;NICARAGUA
V239;1835/11/1;PACIFIC OCEAN
V241;1838/2/26;INDONESIA
V242;1839/2/12;CHILE
V243;1840/2/2;INDONESIA
V244;1840/5/30;UNITED STATES
V248;1843/2/8;SAINT KITTS AND NEVIS
V249;1843/2/17;GUADELOUPE
V251;1843/11/17;ITALY
V252;1845/2/8;INDONESIA
V253;1845/2/19;COLOMBIA
V254;1845/9/2;ICELAND
V255;1846/5/27;INDONESIA
V256;1846/11/18;JAPAN
V257;1847/4/9;CAPE VERDE
V258;1847/12/4;INDONESIA
V259;1848/5/16;INDONESIA
V261;1853/6/24;TONGA
V262;1853/7/13;PHILIPPINES
V263;1853/10/29;TAIWAN
V264;1854/2/18;RUSSIA
V266;1856/3/2;INDONESIA
V267;1856/7/26;UNITED STATES
V268;1856/9/25;JAPAN
V269;1857/4/17;PAPUA NEW GUINEA
V272;1860/8/18;GUATEMALA
V273;1861/5/7;ERITREA
V275;1861/12/29;INDONESIA
V276;1863/8/17;VANUATU
V277;1864/1/3;INDONESIA
V278;1866/9/12;UNITED STATES
V279;1867/10/21;JAPAN
V280;1868/4/3;UNITED STATES
V281;1868/9/5;ITALY
V282;1869/7/7;INDONESIA
V287;1871/3/3;INDONESIA
V288;1871/4/30;PHILIPPINES
V289;1871/8/7;INDONESIA
V290;1871/12/8;PHILIPPINES
V291;1872/4/24;ITALY
V292;1872/11/3;INDONESIA
V295;1873/1/16;PHILIPPINES
V296;1874/7/3;JAPAN
V297;1874/7/19;PHILIPPINES
V298;1875/1/29;INDONESIA
V299;1875/3/29;ICELAND
V300;1877/2/14;UNITED STATES
V301;1877/6/25;ECUADOR
V302;1878/1/10;VANUATU
V304;1878/2/11;VANUATU
V305;1878/8/29;UNITED STATES
V306;1879/2/4;ITALY
V308;1883/8/27;INDONESIA
V309;1883/10/6;UNITED STATES
V310;1883/10/10;INDONESIA
V313;1884/12/10;INDONESIA
V314;1885/5/25;COLOMBIA
V315;1886/1/11;ECUADOR
V316;1886/6/10;NEW ZEALAND
V317;1886/8/31;TONGA
V318;1887/3/9;PHILIPPINES
V319;1888/3/13;PAPUA NEW GUINEA
V320;1888/7/15;JAPAN
V321;1889/9/6;INDONESIA
V322;1890/6/29;INDONESIA
V324;1892/5/21;INDONESIA
V325;1892/6/7;INDONESIA
V326;1893/1/7;CHILE
V327;1893/5/19;JAPAN
V329;1895/5/22;INDONESIA
V330;1895/6/17;PAPUA NEW GUINEA
V331;1895/10/16;JAPAN
V333;1896/3/15;JAPAN
V334;1897/5/23;PHILIPPINES
V335;1899/11/13;COLOMBIA
V337;1900/1/22;JAPAN
V338;1900/2/16;JAPAN
V339;1900/7/17;JAPAN
V341;1901/5/22;INDONESIA
V342;1901/8/9;VANUATU
V343;1902/5/5;MARTINIQUE
V344;1902/5/7;SAINT VINCENT AND THE GRENADINES
V345;1902/5/8;MARTINIQUE
V346;1902/5/20;MARTINIQUE
V347;1902/8/7;JAPAN
V348;1902/8/30;MARTINIQUE
V349;1902/10/24;GUATEMALA
V351;1903/8/30;NEW ZEALAND
V352;1904/2/25;COMOROS
V353;1905/3/10;ITALY
V354;1905/8/4;SAMOA
V355;1906/4/4;ITALY
V357;1907/8/4;ETHIOPIA
V358;1907/9/28;INDONESIA
V359;1907/10/6;SAMOA
V360;1909/4/28;CAMEROON
V362;1910/7/25;JAPAN
V363;1911/1/30;PHILIPPINES
V364;1911/5/8;JAPAN
V365;1911/8/15;JAPAN
V366;1911/11/3;TRINIDAD AND TOBAGO
V367;1911/11/8;INDONESIA
V368;1912/9/6;UNITED STATES
V369;1912/12/3;CONGO
V370;1913/3/14;INDONESIA
V371;1913/6/23;INDONESIA
V372;1913/12/6;VANUATU
V373;1914/1/12;JAPAN
V374;1914/1/18;PAPUA NEW GUINEA
V375;1914/9/10;NEW ZEALAND
V376;1916/3/3;ECUADOR
V377;1916/7/3;ITALY
V378;1917/1/1;TANZANIA
V379;1917/4/1;NEW ZEALAND
V381;1917/6/7;EL SALVADOR
V382;1918/7/18;INDONESIA
V383;1918/10/12;ICELAND
V384;1919/2/19;MEXICO
V385;1919/4/3;INDONESIA
V386;1919/5/19;INDONESIA
V387;1919/5/22;ITALY
V388;1919/9/29;UNITED STATES
V389;1920/7/25;INDONESIA
V390;1920/10/29;EL SALVADOR
V391;1923/3/11;INDONESIA
V392;1923/7/1;JAPAN
V393;1924/5/10;UNITED STATES
V394;1926/5/24;JAPAN
V395;1927/8/7;INDONESIA
V396;1927/9/5;ICELAND
V397;1928/1/23;GREECE
V399;1928/3/28;INDONESIA
V400;1928/5/13;INDONESIA
V401;1928/8/4;INDONESIA
V402;1928/11/2;ITALY
